Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Jahmyr Gibbs (44037607),Jahmyr Gibbs,44037607,RB/FLEX,8000,NO@DET 09/13/2026 01:00PM ET,DET,22.3,
WR,Ja'Marr Chase (44037977),Ja'Marr Chase,44037977,WR/FLEX,7800,TB@CIN 09/13/2026 01:00PM ET,CIN,21,Q
RB,Bijan Robinson (44037609),Bijan Robinson,44037609,RB/FLEX,7700,ATL@PIT 09/13/2026 01:00PM ET,ATL,23.2,
WR,Puka Nacua (44037979),Puka Nacua,44037979,WR/FLEX,7700,SF@LAR 09/10/2026 08:35PM ET,LAR,25.1,
WR,Jaxon Smith-Njigba (44037981),Jaxon Smith-Njigba,44037981,WR/FLEX,7600,NE@SEA 09/09/2026 08:20PM ET,SEA,22,
RB,Christian McCaffrey (44037611),Christian McCaffrey,44037611,RB/FLEX,7500,SF@LAR 09/10/2026 08:35PM ET,SF,24.8,
WR,Amon-Ra St. Brown (44037983),Amon-Ra St. Brown,44037983,WR/FLEX,7500,NO@DET 09/13/2026 01:00PM ET,DET,19.9,
WR,CeeDee Lamb (44037985),CeeDee Lamb,44037985,WR/FLEX,7400,DAL@NYG 09/13/2026 08:20PM ET,DAL,15.6,
RB,Jonathan Taylor (44037613),Jonathan Taylor,44037613,RB/FLEX,7300,BAL@IND 09/13/2026 01:00PM ET,IND,22.3,
WR,Justin Jefferson (44037987),Justin Jefferson,44037987,WR/FLEX,7300,GB@MIN 09/13/2026 04:25PM ET,MIN,12.4,
RB,James Cook III (44037615),James Cook III,44037615,RB/FLEX,7200,BUF@HOU 09/13/2026 01:00PM ET,BUF,18.8,
RB,Chase Brown (44037617),Chase Brown,44037617,RB/FLEX,7100,TB@CIN 09/13/2026 01:00PM ET,CIN,17.2,
WR,A.J. Brown (44037989),A.J. Brown,44037989,WR/FLEX,7100,NE@SEA 09/09/2026 08:20PM ET,NE,15.1,
QB,Josh Allen (44037500),Josh Allen,44037500,QB,7000,BUF@HOU 09/13/2026 01:00PM ET,BUF,23.3,
RB,De'Von Achane (44037619),De'Von Achane,44037619,RB/FLEX,7000,MIA@LV 09/13/2026 04:25PM ET,MIA,20.9,
WR,Nico Collins (44037991),Nico Collins,44037991,WR/FLEX,7000,BUF@HOU 09/13/2026 01:00PM ET,HOU,15.1,
QB,Joe Burrow (44037501),Joe Burrow,44037501,QB,6900,TB@CIN 09/13/2026 01:00PM ET,CIN,18.2,
