Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership,Game_ID,Simulated_Mean,Simulated_Median,Simulated_85th,Ceiling_95th,Ceiling_99th,Boom_Percentage
Zay Flowers,WR,BAL,IND,31.89,50.46,1.578,0.622,1.582,20.505,7.48,6400.0,0.0488,BAL_IND,31.93,31.99,39.64,44.16,49.09,82.3
Ja'Marr Chase,WR,CIN,TB,26.72,42.08,1.569,0.555,1.575,86.856,10.26,7800.0,0.0096,CIN_TB,26.91,26.92,37.46,44.0,50.73,57.36
Puka Nacua,WR,LAR,SF,26.93,42.96,1.583,0.664,1.595,54.456,10.29,7700.0,0.0156,LAR_SF,27.06,27.03,37.81,43.76,51.1,57.9
Chris Olave,WR,NO,DET,29.63,47.12,1.592,0.734,1.59,26.502,7.85,6700.0,0.0352,DET_NO,29.55,29.49,37.86,42.59,48.23,71.72
Bijan Robinson,RB,ATL,PIT,23.95,36.13,1.508,0.542,1.509,23.596,10.36,7700.0,0.0303,ATL_PIT,23.89,23.69,34.8,41.13,48.71,45.34
Michael Wilson,WR,ARI,LAC,23.51,32.84,1.426,0.611,1.397,21.73,10.6,5300.0,0.03,ARI_LAC,23.51,23.56,34.29,40.06,47.69,44.800000000000004
Jaxson Dart,QB,NYG,DAL,22.79,34.03,1.45,0.0,1.493,37.466,10.29,5600.0,0.018,DAL_NYG,22.8,22.75,33.48,40.02,46.64,41.620000000000005
Malik Willis,QB,GB,MIN,17.08,23.86,1.45,0.0,1.397,94.57,13.52,5300.0,0.005,GB_MIN,17.99,17.34,31.51,39.64,47.19,28.720000000000002
Jahmyr Gibbs,RB,DET,NO,17.11,25.65,1.516,0.611,1.499,101.665,13.53,8000.0,0.005,DET_NO,17.79,17.01,31.14,39.57,49.0,28.199999999999996
Brock Bowers,TE,LV,MIA,21.76,32.13,1.44,0.723,1.477,103.856,10.23,6900.0,0.0061,LV_MIA,21.78,21.57,32.42,38.59,45.73,36.919999999999995
Amon-Ra St. Brown,WR,DET,NO,19.49,30.52,1.569,0.551,1.566,120.967,10.93,7500.0,0.005,DET_NO,19.91,19.72,30.59,37.58,45.59,31.419999999999998
Wan'Dale Robinson,WR,NYG,DAL,24.48,39.75,1.576,0.605,1.624,13.73,8.19,4800.0,0.0574,DAL_NYG,24.33,24.41,32.76,37.53,42.45,46.739999999999995
Malik Nabers,WR,NYG,DAL,11.0,14.45,1.275,0.601,1.314,57.273,16.12,6800.0,0.005,DAL_NYG,13.21,10.47,27.71,37.44,48.25,19.24
Christian McCaffrey,RB,SF,LA,23.17,31.35,1.373,0.632,1.353,24.087,8.33,7500.0,0.0258,LA_SF,23.33,23.36,31.88,36.82,41.96,41.88
Cam Skattebo,RB,NYG,DAL,21.91,27.37,1.22,0.478,1.249,15.194,8.74,5800.0,0.0357,DAL_NYG,22.14,22.19,31.27,36.65,42.3,37.3
Joe Burrow,QB,CIN,TB,21.76,26.65,1.22,0.01,1.225,105.628,8.54,6900.0,0.005,CIN_TB,21.79,21.87,30.87,36.42,41.4,35.32
