Player,Position,Team,Opponent,Projection,Ceiling,Ceiling_Mult,Usage_Stability,Ceiling_Ratio,Leverage,StdDev,Salary,Ownership
Zay Flowers,WR,BAL,IND,31.89,50.46,1.578,0.622,1.582,20.505,7.48,6400.0,0.0488
Chris Olave,WR,NO,DET,29.63,47.12,1.592,0.734,1.59,26.502,7.85,6700.0,0.0352
Puka Nacua,WR,LAR,SF,26.93,42.96,1.583,0.664,1.595,54.456,10.29,7700.0,0.0156
Ja'Marr Chase,WR,CIN,TB,26.72,42.08,1.569,0.555,1.575,86.856,10.26,7800.0,0.0096
Wan'Dale Robinson,WR,NYG,DAL,24.48,39.75,1.576,0.605,1.624,13.73,8.19,4800.0,0.0574
Theo Wease Jr.,WR,MIA,LV,24.44,31.68,1.28,0.636,1.296,9.301,4.19,3000.0,0.0675
Bijan Robinson,RB,ATL,PIT,23.95,36.13,1.508,0.542,1.509,23.596,10.36,7700.0,0.0303
Michael Wilson,WR,ARI,LAC,23.51,32.84,1.426,0.611,1.397,21.73,10.6,5300.0,0.03
Christian McCaffrey,RB,SF,LA,23.17,31.35,1.373,0.632,1.353,24.087,8.33,7500.0,0.0258
Jaxson Dart,QB,NYG,DAL,22.79,34.03,1.45,0.0,1.493,37.466,10.29,5600.0,0.018
Cade Otton,TE,TB,CIN,22.72,33.36,1.429,0.632,1.468,29.383,5.98,3700.0,0.0225
Tyler Shough,QB,NO,DET,22.2,32.16,1.45,0.0,1.449,41.656,7.55,5600.0,0.0153
Cam Skattebo,RB,NYG,DAL,21.91,27.37,1.22,0.478,1.249,15.194,8.74,5800.0,0.0357
Matthew Stafford,QB,LAR,SF,21.77,26.76,1.22,1.0,1.229,78.118,6.76,6200.0,0.0068
Brock Bowers,TE,LV,MIA,21.76,32.13,1.44,0.723,1.477,103.856,10.23,6900.0,0.0061
Joe Burrow,QB,CIN,TB,21.76,26.65,1.22,0.01,1.225,105.628,8.54,6900.0,0.005
Chase Brown,RB,CIN,TB,21.45,28.82,1.35,0.539,1.344,30.648,7.49,7100.0,0.0186
Baker Mayfield,QB,TB,CIN,20.55,27.87,1.32,0.572,1.356,58.781,5.71,5900.0,0.0094
Alec Pierce,WR,IND,BAL,20.01,25.93,1.286,0.69,1.296,87.15,8.3,5700.0,0.0059
De'Von Achane,RB,MIA,LV,19.96,26.92,1.35,0.518,1.349,39.623,7.02,7000.0,0.0135
Tee Higgins,WR,CIN,TB,19.57,25.37,1.291,0.731,1.296,100.555,7.91,6300.0,0.005
Amon-Ra St. Brown,WR,DET,NO,19.49,30.52,1.569,0.551,1.566,120.967,10.93,7500.0,0.005
Ryan Flournoy,WR,DAL,NYG,19.14,24.14,1.27,0.564,1.261,11.541,7.23,3900.0,0.0415
Jalen Coker,WR,CAR,CHI,19.07,27.36,1.432,0.653,1.435,21.299,8.07,4600.0,0.0255
Trevor Lawrence,QB,JAX,CLE,18.85,26.5,1.45,0.935,1.406,91.01,8.32,5800.0,0.0058
Caleb Williams,QB,CHI,CAR,18.77,25.02,1.32,0.891,1.333,99.168,7.53,6300.0,0.005
Dallas Goedert,TE,PHI,WAS,18.73,27.37,1.424,0.595,1.461,28.361,7.15,4100.0,0.0191
Tyrone Tracy Jr.,RB,NYG,DAL,18.73,23.52,1.226,0.583,1.256,11.098,7.66,4800.0,0.042
Kyren Williams,RB,LAR,SF,18.7,25.65,1.362,0.651,1.372,23.185,6.26,6200.0,0.0219
Justin Herbert,QB,LAC,ARI,18.68,27.58,1.45,0.687,1.476,109.314,7.76,6100.0,0.005
Lamar Jackson,QB,BAL,IND,18.4,24.35,1.32,0.327,1.323,96.512,8.83,6800.0,0.005
Kenneth Walker III,RB,SEA,NE,18.39,27.67,1.513,0.646,1.505,34.618,8.36,6500.0,0.0158
Bryce Young,QB,CAR,CHI,18.33,26.62,1.45,0.741,1.452,47.723,7.14,5200.0,0.0111
Jalen Hurts,QB,PHI,WAS,18.04,26.84,1.45,0.838,1.488,106.381,7.04,6600.0,0.005
Cam Ward,QB,TEN,NYJ,17.97,22.58,1.22,0.118,1.257,56.028,5.29,5100.0,0.008
Trey McBride,TE,ARI,LAC,17.95,28.1,1.598,0.783,1.565,111.375,8.37,6800.0,0.005
Harold Fannin Jr.,TE,CLE,JAX,17.83,21.69,1.28,0.637,1.216,26.442,5.73,4200.0,0.0163
Parker Washington,WR,JAX,CLE,17.77,27.04,1.57,0.558,1.522,106.918,8.06,5600.0,0.005
Bo Nix,QB,DEN,KC,17.75,25.46,1.45,0.975,1.434,100.912,7.5,5800.0,0.005
Ashton Jeanty,RB,LV,MIA,17.45,26.82,1.515,0.587,1.537,46.442,8.69,6600.0,0.0114
Derrick Henry,RB,BAL,IND,17.31,23.85,1.379,0.745,1.378,67.249,10.0,6700.0,0.007
Josh Allen,QB,BUF,HOU,17.31,23.85,1.45,0.826,1.378,94.53,9.69,7000.0,0.005
Justin Fields,QB,NYJ,TEN,17.13,25.58,1.45,0.0,1.493,38.98,9.85,4500.0,0.013
Jacoby Brissett,QB,ARI,LAC,17.12,22.14,1.32,0.0,1.293,87.753,7.77,5100.0,0.005
Justin Jefferson,WR,MIN,GB,17.11,27.65,1.595,0.76,1.616,109.592,5.79,7300.0,0.005
Jahmyr Gibbs,RB,DET,NO,17.11,25.65,1.516,0.611,1.499,101.665,13.53,8000.0,0.005
Malik Willis,QB,GB,MIN,17.08,23.86,1.45,0.0,1.397,94.57,13.52,5300.0,0.005
Kyler Murray,QB,ARI,LAC,17.04,24.21,1.45,0.944,1.421,95.957,1.93,5500.0,0.005
Breece Hall,RB,NYJ,TEN,15.81,21.88,1.359,0.62,1.384,72.581,7.62,6200.0,0.006
Jonathan Taylor,RB,IND,BAL,15.73,21.29,1.358,0.622,1.353,84.384,12.35,7300.0,0.005
Davante Adams,WR,LAR,SF,15.67,20.38,1.291,0.727,1.301,80.777,6.87,6200.0,0.005
